user name,date,Game Mode,Kills,Damage,Survival Time,Rescue,Distance traveled,Skill Uses,Preferred Skill,Preferred Weapon 1,Preferred Weapon 2,Arsenal,Accuracy,Head shot,Earned Rank XP,Earned XP,High Tier,Final Position,Total Groups,Total players
dayiszc,20/04/2024,Squad,3,839,15:29:00,0,4422,1,Rewind,M4,Bazzoca FHJ,1,"25,7%","0,0%",55,12896,1,1,26,100
dayiszc,20/04/2024,Squad,3,585,14:23:00,0,4147,4,Rewind,M4,Bazzoca FHJ,1,"24,3%","0,0%",18,9563,0,6,26,100
dayiszc,20/04/2024,Single,9,1765,19:24:00,0,4296,4,Rewind,M4,Bazzoca FHJ,1,"36,1%","11,1%",76,13969,0,1,100,100
dayiszc,21/04/2024,Single,6,1250,17:05:00,0,3512,2,Rewind,M4,Bazzoca FHJ,1,"44,8%","0,0%",57,13223,0,2,100,100
dayiszc,22/04/2024,Single,6,1365,13:53:00,0,3819,1,Rewind,M4,Bazzoca FHJ,0,"29,7%","16,7%",23,2356,0,16,100,100
dayiszc,23/04/2024,Single,0,57,1:33:00,0,1160,0,Rewind,M4,Bazzoca FHJ,0,"0,0%","0,0%",-30,1023,1,100,100,100
katherineguti,19/04/2024,Squad,7,1774,16:58:00,0,3840,4,Ravager Launcher,M4,Sniper M21,1,"35,0%","14,3%",43,9230,1,2,26,100
katherineguti,19/04/2024,Squad,5,1912,14:23:00,1,3542,5,Ravager Launcher,M4,Sniper M21,1,"35,6%","40,0%",23,5202,0,6,26,100
soniacuro,19/04/2024,Squad,1,299,15:29:00,0,3470,7,Clown,AK117,Sniper Tundra,1,"19,1%","0,0%",69,11056,1,1,26,100
soniacuro,19/04/2024,Squad,2,645,14:23:00,0,2695,2,Clown,AK117,Sniper Tundra,1,"83,9%","0,0%",39,5369,0,6,26,100
soniacuro,19/04/2024,Squad,5,1435,16:58:00,0,3581,7,Clown,AK117,Sniper Tundra,1,"26,3%","0,0%",58,6512,1,2,26,100
endergzlz,21/04/2024,Single,0,115,1:27:00,0,1282,1,Ninja,M4,Sniper DLQ,0,"3,8%","0,0%",-4,2001,1,97,100,100
endergzlz,21/04/2024,Single,8,1561,10:26:00,0,6212,1,Ninja,M4,Sniper DLQ,1,"35,3%","37,5%",34,2369,0,33,100,100
endergzlz,21/04/2024,Single,10,2317,17:22:00,0,5642,5,Ninja,M4,Sniper DLQ,1,"28,6%","0,0%",89,4523,0,5,100,100
endergzlz,22/04/2024,Single,4,929,9:21:00,0,4464,10,Ninja,M4,Sniper DLQ,0,"16,1%","0,0%",30,3325,0,36,100,100
endergzlz,23/04/2024,Single,2,493,2:15:00,0,2256,0,Ninja,M4,Sniper DLQ,0,"17,7%","0,0%",0,2560,1,91,100,100
endergzlz,23/04/2024,Single,13,2512,13:55:00,0,6020,19,Ninja,M4,Sniper DLQ,0,"20,1%","7,7%",39,3695,0,13,100,100
endergzlz,23/04/2024,Single,12,2694,18:11:00,0,8451,28,Ninja,M4,Sniper DLQ,1,"22,1%","8,3%",215,11023,1,1,100,100
endergzlz,24/04/2024,Single,6,1388,15:49:00,0,5886,9,Ninja,M4,Sniper DLQ,1,"15,6%","0,0%",88,5623,0,8,100,100
endergzlz,25/04/2024,Single,13,2334,17:39:00,0,6675,19,Ninja,M4,Sniper DLQ,1,"23,4%","15,4%",110,12369,1,1,100,100
endergzlz,25/04/2024,Single,3,649,11:27:00,0,3685,7,Ninja,M4,Sniper DLQ,0,"12,4%","33,3%",35,4569,0,27,100,100
endergzlz,26/04/2024,Single,15,2648,17:11:00,0,8984,30,Ninja,M4,Sniper DLQ,1,"20,0%","13,3%",123,12003,1,1,100,100
endergzlz,27/04/2024,Single,0,115,1:27:00,0,1282,1,Ninja,M4,Sniper DLQ,0,"3,8%","0,0%",-4,2896,1,97,100,100
dayiszc,21/04/2024,Squad,2,1042,16:58:00,0,3704,0,Rewind,AK47,Bazzoca FHJ,1,"40,9%","0,0%",160,5698,1,2,26,100
dayiszc,22/04/2024,Squad,1,483,19:37:00,2,5136,1,Rewind,AK47,Bazzoca FHJ,1,"32,8%","0,0%",76,5239,0,2,26,100
dayiszc,23/04/2024,Squad,14,3326,17:35:00,1,5549,3,Rewind,AK47,Sniper M21,1,"34,8%","7,1%",78,11746,0,1,26,100
dayiszc,24/04/2024,Squad,8,2532,17:07:00,0,3677,2,Rewind,AK47,Bazzoca FHJ,1,"56,0%","0,0%",63,9568,1,2,26,100
dayiszc,25/04/2024,Single,5,1380,17:10:00,0,5423,5,Rewind,AK47,Bazzoca FHJ,1,"26,3%","0,0%",66,11999,1,1,100,100
katherineguti,20/04/2024,Squad,5,1605,15:46:00,1,3198,5,Ravager Launcher,AK47,Sniper M21,1,"36,0%","0,0%",68,6987,0,2,26,100
katherineguti,20/04/2024,Squad,6,1600,13:36:00,0,2650,3,Ravager Launcher,AK47,Sniper M21,1,"28,9%","16,7%",34,5632,0,6,25,100
katherineguti,20/04/2024,Squad,0,114,2:01:00,0,1565,0,Ravager Launcher,AK47,Sniper M21,0,"15,0%","0,0%",0,2136,1,25,25,100
katherineguti,20/04/2024,Squad,9,2463,13:23:00,4,3603,6,Ravager Launcher,AK47,Sniper M21,1,"37,0%","0,0%",51,5647,1,6,25,100
katherineguti,20/04/2024,Squad,2,792,10:17:00,1,3416,2,Ravager Launcher,AK47,Sniper M21,0,"36,0%","0,0%",1,3698,0,14,25,100
katherineguti,20/04/2024,Squad,4,1166,16:05:00,1,4144,4,Ravager Launcher,AK47,Sniper M21,1,"35,1%","25,0%",49,5639,1,6,25,100
katherineguti,20/04/2024,Squad,6,1845,17:49:00,4,4125,4,Ravager Launcher,AK47,Sniper M21,1,"39,0%","0,0%",84,12036,1,1,26,100
